role,provider_code,provider_name,specialty_code,specialty_name,period_date,pct_within_18wk
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-04,0.8497206703910615
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-05,0.8539881068706552
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-06,0.8425084469299778
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-07,0.8401134717527764
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-08,0.8262168590822069
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-09,0.8273580331422378
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-10,0.8242110526160995
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-11,0.8257979519731721
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2024-12,0.8116234882528576
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-01,0.8093366243105707
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-02,0.8247195034614466
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-03,0.8311121807406516
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-04,0.8273079115538088
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-05,0.8216273123778012
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-06,0.8311797184401468
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-07,0.8167027581490768
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-08,0.8046991404011461
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-09,0.814492584374635
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-10,0.8195342450077244
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-11,0.8369420867255615
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2025-12,0.8448359833834694
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2026-01,0.8447126907114046
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2026-02,0.842498925347471
persistently in breach,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service,2026-03,0.8580052423945563
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-04,0.9996366279069767
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-05,0.9996805111821087
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-06,0.9990820073439413
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-07,0.9967291109128754
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-08,0.9952908587257617
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-09,0.9953775038520801
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-10,0.9920733217735943
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-11,0.9901502093080522
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2024-12,0.9822371579452712
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-01,0.9717254712421459
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-02,0.9666102105008468
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-03,0.9701280227596017
