provider_code,specialty_code,n_points,lag1_autocorrelation
A0C5S,C_130,24,0.8554955775461628
A1D1B,C_130,12,0.8565060600551082
A1U4J,C_130,20,0.8372484804221152
A4M8P,C_100,24,0.7922153959917664
A4M8P,C_101,24,0.8613087430232422
A4M8P,C_110,24,0.9196373456382951
A4M8P,C_120,24,0.8587837494140462
A4M8P,C_301,24,0.3608642905044612
A4M8P,C_502,24,0.8826593563052411
A4M8P,X02,24,0.7997111500929233
A4M8P,X06,19,-0.057060390763765546
A4Q9X,C_130,24,0.6681694433069664
AAH,C_100,24,0.7347478545336172
AAH,C_101,24,0.1564982613249264
AAH,C_110,24,0.18102677340818937
AAH,C_120,22,0.5002206468771302
AAH,C_130,24,0.5317487677416033
AAH,C_140,24,0.017501153367675798
AAH,C_340,19,0.13100864592126146
AAH,C_502,24,0.11976089576747452
AAH,X06,24,0.22683422809569045
AAV,C_130,24,0.7906291560750928
AAV,C_301,20,0.6512281377519575
ACG08,C_130,24,0.5769099660572421
ACG12,C_130,24,0.9277809059847308
ACG13,C_130,24,0.9179533897172009
ACG19,C_130,24,0.9466619929338387
ACG20,C_130,24,0.9135692657093308
ACG22,C_130,24,0.9528182366803583
ACG24,C_130,24,0.5805079241393614
ACG26,C_130,24,0.6162476355144922
ACG30,C_130,24,0.36574726077928543
ACG31,C_130,24,0.5821142711415351
ACG36,C_130,24,0.47014062928943845
ACG37,C_130,24,0.8163558400532318
ACG38,C_130,24,0.9266639067787368
ACG39,C_130,22,0.9490415712588699
ACG40,C_130,24,0.8541537155724623
ADN,C_502,16,0.978288437159861
ADP02,C_100,24,0.6299611291921742
ADP02,C_101,24,0.205387956347746
ADP02,C_110,24,0.7379005359813152
ADP02,C_502,24,0.4633134980459873
ADP02,X02,24,0.2432402707195333
AHP,C_330,24,0.8634390159478779
AQK,X02,24,0.7082674742666998
AQK,X05,15,0.9469550019953823
AY1,C_100,15,0.5674743611589371
AY1,C_301,24,0.9172990030854279
AY1,C_330,13,0.9757470480071315
AY1,C_410,23,0.7861563584535308
AY1,X02,23,0.5505097556466148
AY1,X05,15,0.8849971197363907
B1A5K,C_130,24,0.33585152299741167
B3M1X,C_100,24,0.6935197323416935
B3M1X,C_101,24,0.7798926612062653
B3M1X,C_110,24,0.7847599541177981
B3M1X,C_120,24,0.769123730267521
B3M1X,C_130,24,0.5944878065527907
B3M1X,C_150,24,0.7013642656057687
B3M1X,C_502,24,0.8587138627824075
B4N1U,C_130,24,0.8834865377913715
B5M7B,C_130,24,0.8649643798554227
B9J4U,C_130,24,0.7539135814351725
B9M3W,C_130,24,0.9168042038078356
C3Y0A,C_130,24,0.8951697131155901
C5Y9L,C_130,15,0.8717253324495221
C9A7J,C_130,17,0.9168348659932203
D3O0Z,C_130,24,0.8622606814801824
D5P5H,C_130,24,0.46127552976721925
DFQ,C_100,24,0.7519406826043361
DFQ,C_110,24,0.8218194398185283
DFQ,C_130,24,0.42785934462488573
DFQ,C_160,24,0.4707359863055799
DFY01,C_160,24,-0.006207317309857474
DFY01,C_330,22,0.28918995216060744
DTT,X05,17,0.8677281883038849
DX1,C_100,24,0.8109185145600568
DX1,C_110,24,0.4695885735657677
DXV,C_120,24,0.9772491670643271
DXV,C_330,24,0.827148489334991
E1U4T,C_130,24,0.6816226724596984
E3D4A,C_130,24,0.6444310541350402
F0R0W,C_130,21,0.44788461261329077
F1Y1H,C_130,16,0.9454049689150075
F7F6D,C_130,13,0.7700878900225933
F9Z4V,C_100,24,0.9441344578830309
F9Z4V,C_110,24,0.8091051800728604
F9Z4V,C_120,24,0.7492637511519155
F9Z4V,C_130,24,0.7161492527281481
F9Z4V,C_301,24,0.7373986450924015
F9Z4V,C_502,24,0.733670940498215
F9Z4V,X06,24,0.5632380693488573
G3O5P,C_130,24,0.9446386257686054
G3Q3Z,C_100,24,0.6730899773877527
G3Q3Z,C_110,24,0.8115005861995602
G3Q3Z,C_120,24,0.5272669264862768
G3Q3Z,C_160,24,0.8195358838094883
G3Q3Z,C_301,24,0.6792085595201987
G3Q3Z,X02,18,0.7462661557363407
G3Q3Z,X05,24,0.7424729619070484
G3Z1Q,C_100,24,0.9172877731892166
G3Z1Q,C_101,24,0.8086325213479282
G3Z1Q,C_110,24,0.8191717330263742
G3Z1Q,C_120,24,0.7031132451562392
G3Z1Q,C_130,24,0.9000080571037962
G3Z1Q,C_301,24,0.8169613336756287
G3Z1Q,C_502,24,0.46283390296591725
G3Z1Q,X06,20,0.4251063316361746
G4H0I,C_130,17,0.9611954476418099
G5X2Q,C_130,24,0.7416876901620042
G6S7A,C_130,20,0.929573649690655
H1T2P,C_130,18,0.8325231672432046
H2K1G,C_130,17,0.3892689781635752
H4I8B,C_100,24,0.8756678766750406
H4I8B,C_110,24,0.8056577802928124
H4I8B,C_120,24,0.837104286076676
H4I8B,C_130,24,0.6541571555767156
H4I8B,C_320,24,0.5991323973419415
H4I8B,C_410,24,0.5680215076606049
H4I8B,X02,22,0.4635701681615336
H4I8B,X05,24,0.7950137238847227
H4I8B,X06,24,0.7018181085753699
H4J9P,C_130,24,0.9251655065079201
I1H7K,C_130,18,0.7477895600568889
I2C7H,C_130,24,0.7821723505885789
I9A4A,C_130,24,0.9109294642039371
J0M7P,C_130,12,0.036747213161149296
J2H6H,C_130,24,0.8407196735277985
J3J8Z,C_130,24,0.6222507330865708
J3X4C,C_130,24,0.924996973589929
J7V1N,C_130,24,0.9375028673538677
K8I4X,C_100,24,0.8675758248832639
K8I4X,C_101,24,0.596228155030328
K8I4X,C_110,24,0.8916060408611807
K8I4X,C_120,20,0.4631418154595835
K8I4X,C_130,24,0.854061691242049
K8I4X,C_301,24,0.6099491479491973
K8I4X,C_502,22,0.5564688834267522
K8I4X,X02,24,0.8635533599124029
K8I4X,X06,21,0.5586096995246449
K9J3O,C_130,19,0.8849030230471199
L0D9W,C_130,24,0.9169709765690679
L4R3R,C_130,24,0.9553746598891487
L6O7H,C_130,24,0.8276329747205313
L9D3Z,C_130,24,0.3036281897778843
M0N7E,C_130,24,0.4814703454065946
M2Y6D,C_100,14,0.29532723654268783
M2Y6D,C_110,14,0.9736621233787949
M3R0W,C_130,24,0.6154303992291492
M4C5R,C_130,24,0.7069822553152632
M5E1S,C_130,24,0.8467441505968201
M7C9Q,C_130,24,0.556807205344405
N6Z0R,C_130,24,0.8420876731748199
N8R1N,C_130,21,0.9743033358181828
NAM01,C_100,24,0.5913031929555977
NAM01,C_101,24,0.3759638583576969
NAM01,C_110,24,0.7328274179305162
NAM01,C_130,24,0.8357026431742819
NCN,C_330,24,0.7159529772957709
NCR,C_130,24,0.7187198043618134
NDJ,C_110,23,0.5019832072543552
NDL01,X06,24,0.24020724863042459
NEQ,C_130,24,0.18795663974291715
NEQ,C_301,24,0.40351427836375536
NEQ,X02,24,-0.12191100055048452
NEY,C_100,24,0.8985381107523542
NEY,C_101,19,0.7633432888366346
NEY,C_110,24,0.8600764461889077
NEY,C_120,24,0.9053682033979904
NEY,C_130,21,0.4299476397863428
NEY,C_150,23,0.8772806034889137
NEY,C_400,24,0.9054592012077826
NEY,C_502,24,0.8145885997520522
NEY,X02,20,0.5337535302287121
NEY,X04,18,0.8740073734751252
NEY,X05,23,0.12416502850164572
NEY,X06,22,-0.019704516263014712
NFH,C_110,24,0.711957889866446
NFH,C_130,24,0.3931120630094073
NFH,C_140,24,0.6114062056736488
NFH,C_160,24,0.7865851249688846
NFH,X05,23,-0.00832940017731311
NL3,C_320,24,0.8187073852564689
NL8,C_110,15,0.67981866069264
NL8,C_330,24,0.7026704990577496
NL8,X05,24,0.6668615553439381
NLE01,C_101,24,0.669263109857494
NLE01,C_502,24,0.7142022493096845
NLG,C_120,17,0.8635638027791946
NLX,C_110,24,0.9887187068248487
NMG,C_410,24,0.43695643532476447
NMG,X06,24,0.4857584040534052
NN4,C_100,24,0.8141266034321634
NN4,C_101,24,0.6118627892647444
NN4,C_110,24,0.8437925223870462
NN4,C_160,24,0.7286990402000137
NN4,C_301,24,0.6579497287647875
NN4,C_502,24,0.5420568069067132
NN4,X02,24,0.6913177027901637
NN4,X06,17,0.8288949178652582
NN5,C_100,22,0.3954885646342428
NN5,C_110,24,0.634466058485746
NN5,C_301,24,0.8956479584323828
NN5,C_410,24,0.6604471009810524
NN8,C_100,24,0.8417694839638759
NN8,C_101,24,0.6890983207393896
NN8,C_110,24,0.9462310746947351
NN8,C_120,24,0.46966708128523765
NN8,C_502,24,0.8867219435907053
NN8,X02,24,0.8779499127027002
NN8,X04,15,0.7324840764331209
NNE,C_100,24,0.6373030734285545
NNE,C_101,24,0.6412793364145724
NNE,C_110,24,0.9122282289460466
NNE,C_120,24,0.9418476767050936
NNE,C_130,24,0.8683448295613696
NNE,C_150,24,0.723320276156533
NNE,C_300,24,0.749419076996203
NNE,C_301,24,0.8640274979867524
NNE,C_320,24,0.7243339176031341
NNE,C_330,24,0.8727058782375859
NNE,C_340,24,0.6489919900084512
NNE,C_400,24,0.885643870401142
NNE,C_410,24,0.798697155608345
NNE,C_430,24,-0.11026406010278256
NNE,C_502,24,0.8714789381723398
NNE,X02,24,0.8216703273414809
NNE,X05,24,0.8860649379042473
