provider_code,specialty_code,n_obs,rho
NVG01,C_101,12,-0.6200470035175927
NT347,C_320,12,-0.3423326133909287
NT427,C_320,13,-0.3161290322580645
NT411,C_110,24,-0.28914844850445887
NT406,C_502,19,-0.2772973481490714
NT418,X06,17,-0.2585047029117793
R0F4N,C_110,24,-0.2518147080142179
RXL,C_300,13,-0.2161778092505208
NT351,C_160,13,-0.18522100358265375
NT411,C_100,24,-0.16899104036720405
RYJ,X06,24,-0.16719261352394946
RDE,C_170,14,-0.1572449642625081
RTR,C_300,24,-0.15718298012933068
RTE,C_100,23,-0.15276531844896313
RW1,C_430,24,-0.14604415910126498
RWX,X04,24,-0.127478943046666
NEQ,X02,24,-0.12191100055048452
NT447,C_150,23,-0.12083780880773368
RN5,C_170,20,-0.11797239492882541
NT351,C_502,21,-0.11642106920645849
NT339,C_101,24,-0.11340254602579491
NT411,C_130,24,-0.11261827363966818
NNE,C_430,24,-0.11026406010278256
RPY,C_340,12,-0.10000000000000007
NT431,X06,12,-0.09999999999999987
NT402,X06,19,-0.09859154929577463
RD1,C_300,23,-0.09846497348590577
RHQ,C_300,12,-0.09650924693255865
NT428,X06,13,-0.09090909090909094
RXR,C_430,24,-0.08696827284083897
NT449,X06,22,-0.0818286884163254
NT212,C_101,15,-0.0769230769230769
NPG07,C_130,24,-0.0764138519110384
NT3X3,C_110,24,-0.07396074441481634
NT322,C_100,23,-0.07092704960085716
NT339,X05,24,-0.07077166339665404
NT429,X06,17,-0.06666666666666667
NT440,C_400,17,-0.06666666666666667
NVC23,C_301,24,-0.06472975421509926
RVV,C_300,24,-0.06414350165079602
RTG,C_300,23,-0.05975523273955298
NT411,C_301,24,-0.058631004967580724
A4M8P,X06,19,-0.057060390763765546
RFS,C_100,24,-0.05567627087735583
RCX,C_170,20,-0.055555555555555663
RM3,C_170,20,-0.055555555555555546
NT315,X05,21,-0.05263157894736843
NT321,X05,21,-0.052631578947368425
NT409,C_150,22,-0.05000000000000002
NT420,C_150,23,-0.047619047619047644
NTPH3,C_301,24,-0.04545454545454549
NT411,X06,24,-0.04545454545454547
NT225,C_150,19,-0.039741355366145856
RR7,X05,24,-0.022836770909398216
NEY,X06,22,-0.019704516263014712
NT315,C_120,24,-0.01758367447254572
NT216,C_101,19,-0.013718628485045873
NT224,X06,13,-0.009345794392523372
NVC17,C_101,24,-0.009333010443305104
NT428,C_100,22,-0.009163261025810672
NFH,X05,23,-0.00832940017731311
DFY01,C_160,24,-0.006207317309857474
RPY,X06,24,-0.006080645718196933
RR7,X03,24,-0.005804021695238512
NVC12,C_320,24,-0.0007655876377381831
RDU,C_300,23,0.008556325192527301
NVC0R,C_160,24,0.010410013242670785
NT332,C_100,24,0.012902034071719411
RP5,C_300,24,0.013817519412311352
AAH,C_140,24,0.017501153367675798
RXW,C_430,24,0.021964157711009197
NVC18,X06,12,0.03005414623878231
RXC,C_330,24,0.031093367553021726
RWP,C_430,20,0.03116761142970994
NT447,C_301,21,0.035591544046683125
J0M7P,C_130,12,0.036747213161149296
NQH,C_330,24,0.0421627504498422
RJ6,X06,19,0.04411287732562846
NT411,C_502,24,0.051864226242183106
RYY,C_110,24,0.060521858434995926
RBK,C_430,24,0.0606950672029541
NT316,C_120,24,0.0632626131047498
RYY,X02,24,0.0740192178479661
NNH,C_130,15,0.07808884377319118
RX1,X03,15,0.08550700512020747
RPY,X04,24,0.09255954263900418
RRF,X06,24,0.10647698199776587
NT317,C_150,24,0.11214863625256534
NT404,C_301,24,0.1129789677829863
NT204,C_502,24,0.11625550499570589
RAN,X03,23,0.11717269076305212
AAH,C_502,24,0.11976089576747452
NVC12,C_502,17,0.12343186811451534
NVC21,X02,24,0.12413135152209663
NEY,X05,23,0.12416502850164572
NT324,C_101,24,0.12818755617799105
NVC28,X02,17,0.12835844965306598
AAH,C_340,19,0.13100864592126146
RPY,C_101,24,0.13235164061979063
NQM01,C_110,24,0.13642181122500233
RDU,X03,17,0.13687808808100305
